rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,skin_tone,eye_color,skin_type,hair_color,product_id,brand_name,price_usd
1,0.0,0.75,12.0,1.3862943611198906,2.302585092994046,lightMedium,brown,combination,blonde,P248407,First Aid Beauty,38.0
5,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,lightMedium,brown,combination,brown,P248407,First Aid Beauty,38.0
4,1.0,0.75,4.0,0.6931471805599453,1.3862943611198906,lightMedium,brown,combination,black,P248407,First Aid Beauty,38.0
1,0.0,1.0,4.0,0.0,1.6094379124341003,fair,blue,normal,brown,P248407,First Aid Beauty,38.0
2,0.0,0.600000024,5.0,1.0986122886681098,1.3862943611198906,lightMedium,brown,combination,black,P248407,First Aid Beauty,38.0
1,0.0,0.583333015,12.0,1.791759469228055,2.0794415416798357,medium,green,combination,brown,P248407,First Aid Beauty,38.0
2,0.0,0.857142985,14.0,1.0986122886681098,2.5649493574615367,light,hazel,dry,blonde,P248407,First Aid Beauty,38.0
1,0.0,0.764706016,17.0,1.6094379124341003,2.6390573296152584,fair,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,6.0,0.0,1.9459101490553132,fair,blue,dry,blonde,P248407,First Aid Beauty,38.0
4,0.0,0.571429014,7.0,1.3862943611198906,1.6094379124341003,light,green,combination,blonde,P248407,First Aid Beauty,38.0
1,0.0,0.214286,28.0,3.1354942159291497,1.9459101490553132,fair,brown,combination,brown,P248407,First Aid Beauty,38.0
2,0.0,0.5,6.0,1.3862943611198906,1.3862943611198906,lightMedium,brown,combination,brown,P248407,First Aid Beauty,38.0
1,0.0,0.695652008,23.0,2.0794415416798357,2.833213344056216,light,blue,combination,blonde,P248407,First Aid Beauty,38.0
2,0.0,0.727272987,11.0,1.3862943611198906,2.1972245773362196,deep,brown,dry,black,P248407,First Aid Beauty,38.0
4,1.0,0.421052992,19.0,2.4849066497880004,2.1972245773362196,fair,blue,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,0.777778029,9.0,1.0986122886681098,2.0794415416798357,light,brown,combination,black,P248407,First Aid Beauty,38.0
5,1.0,1.0,5.0,0.0,1.791759469228055,medium,brown,combination,black,P248407,First Aid Beauty,38.0
5,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,light,brown,combination,black,P248407,First Aid Beauty,38.0
1,0.0,0.133332998,15.0,2.6390573296152584,1.0986122886681098,medium,brown,combination,black,P248407,First Aid Beauty,38.0
3,0.0,0.666666985,6.0,1.0986122886681098,1.6094379124341003,lightMedium,brown,dry,black,P248407,First Aid Beauty,38.0
5,1.0,0.777778029,9.0,1.0986122886681098,2.0794415416798357,fair,green,dry,brown,P248407,First Aid Beauty,38.0
5,1.0,0.866666973,15.0,1.0986122886681098,2.6390573296152584,medium,brown,dry,brown,P248407,First Aid Beauty,38.0
5,1.0,0.550000012,20.0,2.302585092994046,2.4849066497880004,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,fair,hazel,combination,blonde,P248407,First Aid Beauty,38.0
5,1.0,0.857142985,7.0,0.6931471805599453,1.9459101490553132,fair,hazel,normal,brown,P248407,First Aid Beauty,38.0
5,1.0,0.899999976,10.0,0.6931471805599453,2.302585092994046,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,0.909090996,22.0,1.0986122886681098,3.044522437723423,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,7.0,0.0,2.0794415416798357,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,11.0,0.0,2.4849066497880004,light,brown,combination,brown,P248407,First Aid Beauty,38.0
2,1.0,1.0,8.0,0.0,2.1972245773362196,light,brown,dry,brown,P248407,First Aid Beauty,38.0
3,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,light,brown,combination,brown,P248407,First Aid Beauty,38.0
4,1.0,1.0,4.0,0.0,1.6094379124341003,light,brown,combination,brown,P248407,First Aid Beauty,38.0
3,1.0,0.857142985,7.0,0.6931471805599453,1.9459101490553132,light,brown,dry,brown,P248407,First Aid Beauty,38.0
1,1.0,0.25,4.0,1.3862943611198906,0.6931471805599453,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,light,brown,combination,brown,P248407,First Aid Beauty,38.0
1,1.0,0.625,8.0,1.3862943611198906,1.791759469228055,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,5.0,0.0,1.791759469228055,light,brown,combination,brown,P248407,First Aid Beauty,38.0
1,1.0,1.0,9.0,0.0,2.302585092994046,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,0.888889015,9.0,0.6931471805599453,2.1972245773362196,light,brown,oily,brown,P248407,First Aid Beauty,38.0
1,1.0,0.899999976,10.0,0.6931471805599453,2.302585092994046,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,0.909090996,11.0,0.6931471805599453,2.3978952727983707,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,light,brown,dry,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,6.0,0.0,1.9459101490553132,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,0.875,8.0,0.6931471805599453,2.0794415416798357,light,brown,oily,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,7.0,0.0,2.0794415416798357,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,8.0,0.0,2.1972245773362196,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,15.0,0.0,2.772588722239781,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,5.0,0.0,1.791759469228055,lightMedium,brown,oily,brown,P248407,First Aid Beauty,38.0
5,1.0,0.899999976,10.0,0.6931471805599453,2.302585092994046,lightMedium,brown,dry,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,5.0,0.0,1.791759469228055,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,7.0,0.0,2.0794415416798357,light,brown,combination,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,6.0,0.0,1.9459101490553132,fair,brown,dry,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,18.0,0.0,2.9444389791664403,fair,brown,dry,brown,P248407,First Aid Beauty,38.0
2,1.0,0.5,8.0,1.6094379124341003,1.6094379124341003,fair,brown,dry,brown,P248407,First Aid Beauty,38.0
5,1.0,1.0,7.0,0.0,2.0794415416798357,light,green,combination,brunette,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,1.0,55.0,0.0,4.02535169073515,light,blue,dry,brown,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.714286029,21.0,1.9459101490553132,2.772588722239781,medium,brown,combination,brown,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.714286029,14.0,1.6094379124341003,2.3978952727983707,light,blue,normal,brown,P269122,Dr. Dennis Gross Skincare,92.0
4,1.0,1.0,4.0,0.0,1.6094379124341003,lightMedium,brown,oily,brown,P269122,Dr. Dennis Gross Skincare,92.0
4,1.0,1.0,4.0,0.0,1.6094379124341003,lightMedium,brown,combination,auburn,P269122,Dr. Dennis Gross Skincare,92.0
4,1.0,0.666666985,6.0,1.0986122886681098,1.6094379124341003,lightMedium,brown,normal,brown,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.833333015,6.0,0.6931471805599453,1.791759469228055,lightMedium,brown,combination,brown,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,1.0,71.0,0.0,4.276666119016055,deep,brown,oily,black,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.916666985,12.0,0.6931471805599453,2.4849066497880004,lightMedium,brown,oily,black,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.888889015,27.0,1.3862943611198906,3.2188758248682006,lightMedium,blue,combination,blonde,P269122,Dr. Dennis Gross Skincare,92.0
4,1.0,1.0,6.0,0.0,1.9459101490553132,fair,hazel,normal,brown,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.75,8.0,1.0986122886681098,1.9459101490553132,light,green,oily,blonde,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.333332986,27.0,2.9444389791664403,2.302585092994046,lightMedium,hazel,normal,brown,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.90476203,21.0,1.0986122886681098,2.995732273553991,lightMedium,blue,dry,brown,P269122,Dr. Dennis Gross Skincare,92.0
4,1.0,0.461537987,13.0,2.0794415416798357,1.9459101490553132,medium,brown,combination,black,P269122,Dr. Dennis Gross Skincare,92.0
2,0.0,0.521739006,23.0,2.4849066497880004,2.5649493574615367,fair,brown,combination,blonde,P269122,Dr. Dennis Gross Skincare,92.0
3,0.0,0.833333015,30.0,1.791759469228055,3.258096538021482,mediumTan,hazel,oily,black,P269122,Dr. Dennis Gross Skincare,92.0
2,0.0,0.5,4.0,1.0986122886681098,1.0986122886681098,lightMedium,hazel,dry,red,P269122,Dr. Dennis Gross Skincare,92.0
3,0.0,0.25,24.0,2.9444389791664403,1.9459101490553132,fair,hazel,combination,red,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.875,8.0,0.6931471805599453,2.0794415416798357,fair,hazel,dry,brown,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,1.0,18.0,0.0,2.9444389791664403,deep,brown,combination,brown,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,1.0,15.0,0.0,2.772588722239781,mediumTan,hazel,dry,brown,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.888889015,9.0,0.6931471805599453,2.1972245773362196,mediumTan,brown,oily,black,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,1.0,5.0,0.0,1.791759469228055,medium,hazel,combination,brown,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.142857,7.0,1.9459101490553132,0.6931471805599453,lightMedium,green,dry,blonde,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,1.0,4.0,0.0,1.6094379124341003,tan,brown,combination,brown,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.941175997,17.0,0.6931471805599453,2.833213344056216,mediumTan,brown,combination,brown,P269122,Dr. Dennis Gross Skincare,92.0
4,1.0,0.800000012,5.0,0.6931471805599453,1.6094379124341003,fairLight,hazel,combination,blonde,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.942028999,69.0,1.6094379124341003,4.189654742026425,light,blue,dry,brown,P269122,Dr. Dennis Gross Skincare,92.0
5,1.0,0.888889015,9.0,0.6931471805599453,2.1972245773362196,lightMedium,brown,combination,black,P269122,Dr. Dennis Gross Skincare,92.0
